seq,arm,repeat,connect_ms,handshake_ms
5,classical,2,10.6260,14.5640
5,classical,2,11.3260,14.7780
5,classical,2,12.7840,16.5570
5,classical,2,13.0490,15.4700
5,classical,2,11.2560,15.9960
5,classical,2,11.9420,14.6810
5,classical,2,12.1510,15.3610
5,classical,2,11.2700,14.5240
5,classical,2,10.5630,14.8050
5,classical,2,10.9460,14.7290
5,classical,2,10.7540,15.0470
5,classical,2,11.7610,14.3260
5,classical,2,10.5310,14.7610
5,classical,2,11.5840,15.0680
5,classical,2,11.7540,14.5080
5,classical,2,12.1120,15.5510
5,classical,2,11.5140,14.1440
5,classical,2,12.0000,14.5160
5,classical,2,11.5990,14.4580
5,classical,2,11.0450,14.7890
5,classical,2,11.0440,14.9600
5,classical,2,11.5900,14.9660
5,classical,2,11.2890,14.5410
5,classical,2,12.3180,15.1530
5,classical,2,12.1880,15.1000
5,classical,2,11.2530,14.8180
5,classical,2,11.2350,14.4100
5,classical,2,11.5720,15.1650
5,classical,2,11.1460,14.4810
5,classical,2,11.6000,14.1710
5,classical,2,13.3930,15.1730
5,classical,2,10.8180,15.9100
5,classical,2,10.8360,14.2940
5,classical,2,11.5350,15.8500
5,classical,2,11.9960,15.1380
5,classical,2,11.3410,14.1820
5,classical,2,14.7800,14.8900
5,classical,2,10.6730,14.5470
5,classical,2,11.6400,14.3990
5,classical,2,10.7710,14.6110
5,classical,2,14.0140,15.3970
5,classical,2,11.4480,15.3130
5,classical,2,11.9960,14.9380
5,classical,2,11.2210,14.2160
5,classical,2,11.4620,15.5400
5,classical,2,11.3050,14.4150
5,classical,2,11.7470,15.1830
5,classical,2,11.8160,15.3030
5,classical,2,11.1330,14.2010
5,classical,2,11.1960,14.2010
5,classical,2,11.3930,15.2570
5,classical,2,11.4700,14.0550
5,classical,2,11.7760,14.2490
5,classical,2,11.2050,14.1610
5,classical,2,10.9390,14.4740
5,classical,2,12.0420,15.3030
5,classical,2,11.3550,15.5340
5,classical,2,11.7840,15.0450
5,classical,2,12.0260,14.3040
5,classical,2,11.3560,19.7450
5,classical,2,11.4610,14.5070
5,classical,2,12.0780,15.1920
5,classical,2,10.6470,14.6010
5,classical,2,10.9650,14.1140
5,classical,2,12.0620,15.4940
5,classical,2,11.5450,14.4910
5,classical,2,11.2540,14.0630
5,classical,2,11.9980,14.0690
5,classical,2,11.6620,14.3100
5,classical,2,11.0540,14.1200
5,classical,2,11.1270,14.8710
5,classical,2,10.9310,18.2230
5,classical,2,10.8710,14.3180
5,classical,2,11.4100,15.4590
5,classical,2,11.5430,14.4990
5,classical,2,11.8950,15.1590
5,classical,2,11.3430,14.6960
5,classical,2,11.0610,14.0960
5,classical,2,10.5940,17.3410
5,classical,2,10.9190,14.4240
5,classical,2,11.6960,14.2800
5,classical,2,11.6980,14.1220
5,classical,2,10.4140,14.4050
5,classical,2,11.2620,14.2510
5,classical,2,10.8020,14.3040
5,classical,2,10.6100,14.7580
5,classical,2,11.3180,14.2900
5,classical,2,89.6490,20.1790
5,classical,2,12.9400,16.2650
5,classical,2,12.8210,15.0800
5,classical,2,11.3420,19.8990
5,classical,2,11.3320,14.5280
5,classical,2,11.8270,14.9710
5,classical,2,11.4870,15.2280
5,classical,2,12.1830,15.3420
5,classical,2,11.6200,15.7990
5,classical,2,10.8650,15.3000
6,hybrid,2,10.8660,18.3520
6,hybrid,2,10.9650,20.4180
6,hybrid,2,11.2290,20.7120
6,hybrid,2,11.2210,18.0430
6,hybrid,2,11.0190,21.2160
6,hybrid,2,10.9660,17.3500
6,hybrid,2,10.7780,22.5630
6,hybrid,2,10.6220,19.7410
6,hybrid,2,10.6920,18.9670
6,hybrid,2,11.3230,19.0600
6,hybrid,2,10.5040,17.5570
6,hybrid,2,10.6130,18.5980
6,hybrid,2,10.5830,19.3710
6,hybrid,2,11.4420,18.9230
6,hybrid,2,10.8510,20.0420
6,hybrid,2,11.0430,21.2040
6,hybrid,2,10.5130,21.0000
6,hybrid,2,10.9360,19.6690
6,hybrid,2,10.7910,19.3590
6,hybrid,2,11.0150,18.3020
6,hybrid,2,11.0230,20.6280
6,hybrid,2,10.5920,20.1600
6,hybrid,2,10.2200,17.7480
6,hybrid,2,10.6900,19.1360
6,hybrid,2,10.2460,19.3310
6,hybrid,2,10.8040,18.2870
6,hybrid,2,11.0790,21.2860
6,hybrid,2,10.9710,19.1830
6,hybrid,2,10.5940,17.8880
6,hybrid,2,11.2690,19.8530
6,hybrid,2,11.4670,19.1580
6,hybrid,2,12.2160,21.2310
6,hybrid,2,11.2310,18.5600
6,hybrid,2,11.0630,18.3440
6,hybrid,2,11.1380,20.7500
6,hybrid,2,11.1880,18.7780
6,hybrid,2,10.9680,18.5740
6,hybrid,2,11.6790,19.7230
6,hybrid,2,11.4330,20.4490
6,hybrid,2,11.1330,18.5040
6,hybrid,2,12.3780,17.8210
6,hybrid,2,11.4820,19.8660
6,hybrid,2,101.6940,26.3150
6,hybrid,2,12.1460,23.1680
6,hybrid,2,11.1880,18.8900
6,hybrid,2,11.6820,18.8680
6,hybrid,2,11.6760,19.5450
6,hybrid,2,11.5720,20.5110
6,hybrid,2,12.0820,19.4700
6,hybrid,2,11.0860,17.8350
6,hybrid,2,11.8370,18.0540
6,hybrid,2,11.7310,19.1220
6,hybrid,2,11.1760,17.9020
6,hybrid,2,11.5950,19.5890
6,hybrid,2,11.0700,19.5470
6,hybrid,2,11.2050,17.9690
6,hybrid,2,11.8350,21.0700
6,hybrid,2,12.0640,20.4350
6,hybrid,2,11.3990,18.3010
6,hybrid,2,11.4650,19.3410
6,hybrid,2,11.7190,20.3790
6,hybrid,2,10.7400,18.4210
6,hybrid,2,10.9960,19.1850
6,hybrid,2,10.9760,17.7760
6,hybrid,2,11.2260,18.4410
6,hybrid,2,11.1930,18.2760
6,hybrid,2,11.5680,18.2300
6,hybrid,2,11.2790,18.7940
6,hybrid,2,11.4840,18.4220
6,hybrid,2,11.2110,19.2520
6,hybrid,2,11.2940,18.5910
6,hybrid,2,10.6630,18.9040
6,hybrid,2,10.8470,18.8290
6,hybrid,2,11.1110,19.5260
6,hybrid,2,10.9210,18.2320
6,hybrid,2,10.8490,20.0640
6,hybrid,2,11.6020,21.4730
6,hybrid,2,11.5980,18.6840
6,hybrid,2,11.4830,19.3350
6,hybrid,2,11.1560,18.9330
6,hybrid,2,11.4760,19.2010
6,hybrid,2,11.4490,19.0640
6,hybrid,2,11.4640,19.0130
6,hybrid,2,11.4840,18.5810
6,hybrid,2,11.9160,17.9510
6,hybrid,2,11.0590,19.6960
6,hybrid,2,10.9900,18.8190
6,hybrid,2,11.0340,18.8480
6,hybrid,2,12.0910,19.7510
6,hybrid,2,11.1460,18.4760
6,hybrid,2,11.2250,18.8250
6,hybrid,2,13.2510,20.5840
6,hybrid,2,10.8260,19.6800
6,hybrid,2,10.9850,19.8270
6,hybrid,2,11.7720,18.2530
6,hybrid,2,10.7290,18.2260
6,hybrid,2,11.3030,19.0060
6,hybrid,2,12.0660,18.3200
6,hybrid,2,11.2870,18.6780
6,hybrid,2,10.9210,18.8530
7,pure,2,10.7680,19.0540
7,pure,2,10.9210,18.5920
7,pure,2,11.2590,19.6790
7,pure,2,11.2500,18.5980
7,pure,2,10.8940,18.2950
7,pure,2,10.9370,20.6670
7,pure,2,11.0120,18.8430
7,pure,2,11.4200,18.3540
7,pure,2,10.7400,19.8420
7,pure,2,11.3930,18.0880
7,pure,2,10.6600,17.4850
7,pure,2,11.1690,18.7150
7,pure,2,10.9440,20.2090
7,pure,2,10.6170,18.3930
7,pure,2,11.5060,19.2950
7,pure,2,10.8750,21.2560
7,pure,2,11.3860,18.1930
7,pure,2,12.0480,19.3240
7,pure,2,10.8370,17.8410
7,pure,2,11.6030,18.1370
7,pure,2,11.1890,19.2520
7,pure,2,11.2070,17.9970
7,pure,2,11.8130,21.7940
7,pure,2,11.2580,18.0160
7,pure,2,11.5580,19.2940
7,pure,2,11.2080,18.8130
7,pure,2,11.3730,20.0990
7,pure,2,10.8000,18.4620
7,pure,2,11.3610,19.4060
7,pure,2,11.5820,19.6220
7,pure,2,10.9110,18.3030
7,pure,2,10.6670,20.9680
7,pure,2,11.8780,19.8780
7,pure,2,11.2030,19.5030
7,pure,2,11.1590,17.6820
7,pure,2,10.8190,19.0680
7,pure,2,12.3820,19.5190
7,pure,2,11.1100,17.8900
7,pure,2,10.8530,18.4060
7,pure,2,12.2570,19.3780
7,pure,2,11.8200,18.5480
7,pure,2,10.9560,20.5650
7,pure,2,10.5240,18.0120
7,pure,2,11.8040,19.1390
7,pure,2,10.3820,18.3040
7,pure,2,10.9950,18.4460
7,pure,2,11.1230,19.1570
7,pure,2,12.5250,19.4590
7,pure,2,11.6810,19.5730
7,pure,2,11.2440,18.5530
7,pure,2,11.0690,18.7210
7,pure,2,11.1420,20.9580
7,pure,2,12.0000,19.4620
7,pure,2,11.5270,18.9430
7,pure,2,10.8620,17.4550
7,pure,2,11.3540,18.6140
7,pure,2,10.8930,18.3500
7,pure,2,10.6370,21.1060
7,pure,2,11.0390,18.7990
7,pure,2,11.3010,19.0850
7,pure,2,11.6600,19.0540
7,pure,2,10.6820,19.0070
7,pure,2,28.9080,78.6910
7,pure,2,11.4880,21.7600
7,pure,2,10.9240,18.4520
7,pure,2,10.8750,18.1340
7,pure,2,11.3030,18.5250
7,pure,2,11.8890,19.9720
7,pure,2,11.1550,17.8750
7,pure,2,10.6640,19.0140
7,pure,2,11.3820,18.9960
7,pure,2,12.8680,17.9700
7,pure,2,10.8040,18.9630
7,pure,2,10.8300,17.5790
7,pure,2,11.4040,18.3210
7,pure,2,11.3530,18.7720
7,pure,2,11.2770,19.6040
7,pure,2,10.7460,18.1050
7,pure,2,10.8720,18.8880
7,pure,2,11.6610,18.4120
7,pure,2,11.3910,18.5920
7,pure,2,10.4990,18.7690
7,pure,2,11.0620,18.6310
7,pure,2,11.9760,20.8870
7,pure,2,11.3490,19.3580
7,pure,2,10.5890,18.7410
7,pure,2,10.4070,18.9470
7,pure,2,11.0180,18.9280
7,pure,2,11.4550,19.6450
7,pure,2,11.2620,18.8150
7,pure,2,10.9510,18.7220
7,pure,2,11.2080,19.3590
7,pure,2,11.7730,20.8610
7,pure,2,11.1620,18.0860
7,pure,2,10.7350,18.6290
7,pure,2,11.5080,18.5910
7,pure,2,11.3100,18.4840
7,pure,2,10.7780,18.0290
7,pure,2,11.1050,21.4530
7,pure,2,10.7320,18.2630
8,deployed,2,11.4780,22.0020
8,deployed,2,11.8410,18.9790
8,deployed,2,11.8180,22.5690
8,deployed,2,10.7820,19.4650
8,deployed,2,11.0640,19.5930
8,deployed,2,11.0390,19.0000
8,deployed,2,11.4580,20.5110
8,deployed,2,11.7970,21.3060
8,deployed,2,11.2340,19.2470
8,deployed,2,15.5450,24.5690
8,deployed,2,11.9030,23.8010
8,deployed,2,10.6860,19.0290
8,deployed,2,10.9200,19.0170
8,deployed,2,12.3850,18.6040
8,deployed,2,11.5610,19.7620
8,deployed,2,10.9990,19.6650
8,deployed,2,11.6580,20.5490
8,deployed,2,10.9790,22.4410
8,deployed,2,11.5260,19.4330
8,deployed,2,11.8950,19.8080
8,deployed,2,11.2140,19.8060
8,deployed,2,11.1190,20.0340
8,deployed,2,11.0730,18.3430
8,deployed,2,11.8340,23.0280
8,deployed,2,10.8900,18.4570
8,deployed,2,10.7770,18.6720
8,deployed,2,11.0300,22.7080
8,deployed,2,11.2180,19.1570
8,deployed,2,13.2140,18.4540
8,deployed,2,11.3490,20.3820
8,deployed,2,11.5420,20.9800
8,deployed,2,11.4040,20.6220
8,deployed,2,11.1170,18.8640
8,deployed,2,11.5350,18.2450
8,deployed,2,10.8420,19.0110
8,deployed,2,11.6890,17.9820
8,deployed,2,11.4240,18.8970
8,deployed,2,11.5230,20.9650
8,deployed,2,11.4470,19.4730
8,deployed,2,11.6610,19.6790
8,deployed,2,11.9460,18.7820
8,deployed,2,11.3620,20.1640
8,deployed,2,11.1240,17.5510
8,deployed,2,11.2170,21.0980
8,deployed,2,10.9390,21.5470
8,deployed,2,11.2680,19.1590
8,deployed,2,10.6690,18.8230
8,deployed,2,11.4390,18.6370
8,deployed,2,11.5760,21.0810
8,deployed,2,10.7130,19.0530
8,deployed,2,11.1580,18.7550
8,deployed,2,11.8640,19.7210
8,deployed,2,11.5550,21.2250
8,deployed,2,11.3610,20.0720
8,deployed,2,12.0320,22.0440
8,deployed,2,11.2150,21.3630
8,deployed,2,11.3810,19.7520
8,deployed,2,10.7470,18.7810
8,deployed,2,10.3690,19.7210
8,deployed,2,11.5020,18.9650
8,deployed,2,11.5520,20.1960
8,deployed,2,10.9160,20.4390
